item_id,rarity,name (en),Item type (en)
9299,2,Royal Tofu Boots,Boots
9303,3,Barnacle Getas,Boots
9304,3,The Resilient,Belt
9310,3,Kama Belt,Belt
9317,1,Twiggy Cloak,Cloak
9318,2,Capsule Cloak,Cloak
9319,2,Royal Capiwin,Cloak
9337,4,Dora Bora,Helmet
9342,3,Kama Hat,Helmet
9349,2,Yamato's Rope,Bow
9352,2,Yorm Amulet,Amulet
9354,2,Hour Wand,Wand
9355,2,Amufafah,Amulet
9359,3,Strange Wand,Wand
9362,2,Bread Wand,Wand
9370,2,Kanniball Staff,One-handed Staff
9371,2,Ecalisor,Ring
9376,3,Kings' Staff,One-handed Staff
9383,2,Intkisser Club,Two-handed Staff
9384,2,Dafturkey Club,Two-handed Staff
9392,2,Royal Gobball Epaulettes,Epaulettes
9399,2,Lidd Ihl,Breastplate
9412,2,The Astro,Axe
9413,2,Militiaman Eater,Axe
9414,2,Boulgourde of the Glades,Axe
9422,2,Ibo-Nanga Mace,Hammer
9424,2,Outar Hammer,Hammer
9430,2,Twiggy Daggers,Dagger
9434,2,Penn Knives,Dagger
9435,2,Feti Daggers,Dagger
9460,3,The Goultard,Two-handed Sword
9467,2,Mishmashovel,Shovel
9470,2,Munster Shovel,Shovel
9471,2,Mechba Shovel,Shovel
9477,1,Adventurer Hat,Helmet
9479,2,Kapow Helmet,Helmet
9481,3,Royal Tofu Helmet,Helmet
9483,3,Royal Gobball Helmet,Helmet
9487,1,Adventurer Boots,Boots
9489,2,Royal Gobball Boots,Boots
9492,1,Adventurer Cloak,Cloak
9494,3,Royal Tofu Cloak,Cloak
9495,3,Royal Gobball Cape,Cloak
9498,1,Adventurer Belt,Belt
9500,1,Kapow Thongs,Boots
9501,2,Royal Tofu Belt,Belt
9504,2,Royal Tofu Epaulettes,Epaulettes
9506,1,Kapow Breastplate,Breastplate
9507,2,Royal Gobball Breastplate,Breastplate
9509,1,Adventure Ring,Ring
9512,1,Adventure Amulet,Amulet
9551,2,Royal Piwi Slippers,Boots
9552,3,Royal Piwi Belt,Belt
9554,1,Kapow Ring,Ring
9555,1,Kapowmulet,Amulet
9556,1,Kapow Belt,Belt
9615,3,Justice Epaulettes,Epaulettes
9616,3,Justice Breastplate,Breastplate
9626,3,Banana Billhook,Tools
9628,2,Class Amulet,Amulet
9629,3,Upper Cutlass,Tools
9630,3,Psilo Scythe,Tools
9723,5,Gelano,Ring
9814,2,Red Goo Breastplate,Breastplate
9815,2,Green Goo Breastplate,Breastplate
9816,3,Purple Goo Breastplate,Breastplate
9819,2,Green Googulet,Amulet
9820,3,Purple Googulet,Amulet
9927,2,Shield in Briefs,Shield
9930,3,The Absorber,Shield
9933,3,Ring O'Stradamus,Ring
9942,1,Crackler Blade,Two-handed Sword
9948,1,Paw Pruner,Shovel
9963,2,Katastro Cards,Cards
9964,2,Bifmaro Bow,Bow
9966,2,Wand of Courage,Wand
9967,2,Cutting Edgies,Dagger
9968,2,Hohoglion Blade,Two-handed Sword
9969,2,Hoglian Sword,Sword
9970,2,Hifipod Shovel,Shovel
9971,2,Crackdweller Staff,One-handed Staff
9972,2,Skyslicer,Axe
9973,2,Corpse Club,Two-handed Staff
9974,2,Smash Hammer,Hammer
9975,2,Necrofahrt Shield,Shield
9976,2,Shield of Denial,Shield
9980,2,Karne Epaulettes,Epaulettes
9981,2,Breastplate of Righteousness,Breastplate
9989,3,Cooper Cape,Cloak
9993,3,The Backdrop,Cloak
10037,1,The Amule,Amulet
10096,2,Boowish Belt,Belt
10097,2,Boowish Hat,Helmet
10098,2,Boowish Epaulettes,Epaulettes
10100,2,The Hulfmoun,Shield
10102,2,Boowish Boots,Boots
10227,2,Elya Wood's Boots,Boots
10228,2,Elya Wood's Hat,Helmet
10229,2,Elya Wood's Cloak,Cloak
10239,1,Chaos Boots,Boots
10240,1,Chaos Hat,Helmet
10241,1,Chaos Cloak,Cloak
10264,3,Strangly Wand,Wand
10265,3,Sargasse,Hammer
10272,7,Dazzling Belt,Belt
10273,1,Toady,Helmet
10274,3,Carnivorous Staff,One-handed Staff
10278,3,Table Knives,Dagger
10280,3,Eachure Hat,Helmet
10287,2,I Keeya Bow,Bow
10288,3,Harmony,Amulet
10291,2,Bowisse Boots,Boots
10292,3,Clint,Helmet
10365,1,Seal of Companionship,Ring
10378,3,Jack O'Lantern,Torches
10423,1,Idol,Emblem
10562,2,Whistle,Amulet
10563,2,Mudguard,Shield
10564,2,Hearty Wand,Wand
10566,2,Lil Challenger Mask,Helmet
10572,1,Kanniball Mask,Helmet
10574,1,Vegebelt,Belt
10575,1,Truffelt,Belt
10576,1,Snapstrap,Belt
10577,2,Lucky Toadfoot,Amulet
10579,2,Lil Challenger Boots,Boots
10580,1,Lil Challenger Belt,Belt
10581,2,Domacion,Shovel
10584,1,Lil Challenger Cloak,Cloak
10604,2,Richie Amulet,Amulet
10609,3,Hotte Rod,Tools
10610,3,Toomoowook,Tools
10611,3,The Right Pick,Tools
10661,1,Aprophelmet,Helmet
10665,1,The Oxster,Helmet
10762,1,Boots of Destiny,Boots
10764,2,Funeral Shroud,Cloak
10766,1,Headgear of Destiny,Helmet
10768,1,Epaulettes of Destiny,Epaulettes
10770,1,Breastplate of Destiny,Breastplate
10775,1,Grambo Ring,Ring
10777,2,Amulet of Respite,Amulet
10779,2,Epaulettes of Respite,Epaulettes
10783,2,Cloak of Trouble,Cloak
10784,3,The Baroness,Cloak
10785,2,Breastplate of Trouble,Breastplate
10786,3,The Baron,Breastplate
10787,3,Ring of Trouble,Ring
10788,3,Nobility Ring,Ring
10816,1,Captain Hat,Helmet
10817,1,Helm Shield,Shield
10934,2,Hat of Trouble,Helmet
10935,3,Top Hat,Helmet
10936,3,Boots of Trouble,Boots
10999,2,Belt of Destiny,Belt
11004,3,Carnivore Hat,Helmet
11008,2,Carnivore Epaulettes,Epaulettes
11009,3,Carnivore Cape,Cloak
11010,3,Carnivore Ring,Ring
11011,2,Carnivore Breastplate,Breastplate
11012,2,Carnivore Amulet,Amulet
11017,2,Brambelt,Belt
11018,2,Leafy Ring,Ring
11019,2,Bouttes,Boots
11020,2,Vegetaring,Ring
11030,1,Bliblield,Shield
11281,1,Pioneer Hat,Helmet
11282,1,Pioneer Cape,Cloak
11283,1,Pioneer Boots,Boots
11284,1,Pioneer Epaulettes,Epaulettes
11363,2,Bouquet of Roses,Torches
11381,1,Fleaster Wodent Hat,Helmet
11382,1,Fleaster Wodent Corset,Belt
11383,1,Fleaster Wodent Top,Breastplate
11384,1,Fleaster Wodent Slippers,Boots
11385,1,Fleaster Wodent Amulet,Amulet
11386,1,Fleaster Wodent Ring,Ring
11393,1,Shieldovore,Shield
11398,1,Gobbowler Epaulettes,Epaulettes
11407,1,Gobbowler Boots,Boots
11408,1,Gobbowler Breastplate,Breastplate
11410,3,Zinit Amulet,Amulet
11411,3,Zinit Boots,Boots
11412,3,Zinit Cloak,Cloak
11413,3,Zinit Hat,Helmet
11425,1,Godfather Hat,Helmet
11576,1,Moskito Amulet,Amulet
11614,2,Willow Bow,Bow
11632,2,Stetler Spike,Hand
11760,2,Slowshoes,Boots
11875,1,The Desperingo,Ring
12044,1,Godfather Jacket,Breastplate
12045,1,Godfather Cloak,Cloak
12046,1,Godfather Shoes,Boots
12049,1,Disciple Jacket,Breastplate
12051,2,The Musselini,Amulet
12057,2,Ye Jolly Good Olde Shield,Shield
12127,2,Angora Bow Meow,Pets
12128,2,Bow Meow,Pets
12129,2,Tofu,Pets
12130,2,Tufty Tofu,Pets
12131,2,Striped Bow Meow,Pets
12178,3,Makabrisdom Ring,Ring
12183,3,Small Makabra Sword,Sword
12184,3,Makabra Hand,Hand
12185,3,Makabra Wand,Wand
12186,3,Makabra Staff,One-handed Staff
12187,3,Makabrards,Cards
12188,3,Makabragger,Dagger
12189,3,Makabrabo,Bow
12190,3,Makabra Club,Two-handed Staff
12191,3,Great Makabra Sword,Two-handed Sword
12192,3,Makabraxe,Axe
12193,3,Makabrammer,Hammer
12194,3,Makabra Shovel,Shovel
12195,3,Makabrakfire Ring,Ring
12196,3,Makabraspekting Ring,Ring
12197,3,Makabraktion Ring,Ring
12237,2,Dot,Pets
12357,2,Fangulet,Amulet
12358,3,Axeivement,Axe
12369,3,Moonwalkers,Boots
12370,2,Lunar Boots,Boots
12371,2,Lunar Cloak,Cloak
12372,2,Lunaring,Ring
12373,3,Lunar Breastplate,Breastplate
12374,3,Lunar Amulet,Amulet
12381,3,Demented Club,Hammer
12382,3,Hurdy Girdle,Belt
12383,3,Milimoowolf Amulet,Amulet
12384,2,Milimoowolf Bracelet,Ring
12385,2,Milimoowolf Fleece,Cloak
12386,2,Milimoowolf Headgear,Helmet
12436,2,Crackly Helmet,Helmet
12437,2,Crackly Boots,Boots
12438,2,Crackly Ring,Ring
12439,3,Crackly Epaulettes,Epaulettes
12445,2,Roc Hammer,Hammer
12448,2,Steam Shovel,Shovel
12450,3,Pumice Stone,Dagger
12451,2,Split Breastplate,Breastplate
12454,2,Crobak Ring,Ring
12458,2,Featherypaulettes ,Epaulettes
12461,2,Crobak Amulet ,Amulet
12471,2,Starry Boots ,Boots
12472,3,Starry Cloak,Cloak
12473,2,Starry Hat,Helmet
12474,3,Starry Ring,Ring
12475,3,Starry Breastplate,Breastplate
12476,3,Gobby Axe,Axe
12477,2,Osamodas's Hammer ,Hammer
12480,2,Crobak Monocle ,Helmet
12481,2,Bluestar Shield ,Shield
12484,3,Black Crow's Epaulettes,Epaulettes
12488,3,Black Crow's Helmet,Helmet
12489,3,Black Crow's Sword ,Two-handed Sword
12568,2,Woolly Boots ,Boots
12576,2,Crazy Shepherd Staff ,One-handed Staff
12581,3,Woolly Amulet,Amulet
12582,2,Abrasive Cape,Cloak
12586,3,Gobbsage Helmet ,Helmet
12587,3,Gobbsage Breastplate ,Breastplate
12588,3,Gobbsage String,Amulet
12589,3,Gobbsage Cape,Cloak
12590,3,Gobbsage Epaulettes ,Epaulettes
12591,3,Old-School Shovel ,Shovel
12592,3,The Maimer ,Axe
12596,2,Sacred Hood,Cloak
12597,2,Sacred Slippers,Boots
12598,3,Sacred Ring,Ring
12599,2,Sacred Tunic,Breastplate
12600,2,Sacred Scepter,Two-handed Staff
12601,3,Old Cane,One-handed Staff
12602,3,Clergy Ring,Ring
12603,3,Old Slippers,Boots
12604,2,The Parish,Shield
12605,3,Clergyman Belt,Belt
12606,2,Monk Hammer,Hammer
12610,3,Birk 'n' Stocks,Boots
12617,2,Nun Cloak,Cloak
12618,2,Wimple,Helmet
12619,3,Nun Blouse,Breastplate
12620,2,Iron Cross,Amulet
12622,3,Nunnish Doily,Belt
12623,3,Nun Scythe ,Two-handed Staff
12624,3,Feather Duster,Wand
12625,3,Forgiveness Bow,Bow
12628,2,Brush,Shovel
12629,2,French Maid Helmet,Helmet
12630,2,Hairy Rat Headband,Helmet
12631,2,Hairy Rat Ring,Ring
12632,3,Hairy Rat Tail,Cloak
12636,2,Hairy Rat Belt,Belt
12637,2,Rough Splinter Wand,Wand
12638,2,Rat Collara,Amulet
12683,2,Wakfu Era Helmet,Helmet
12767,3,Moowolf Bell,Amulet
12768,3,Moowolf Signet Ring,Ring
12769,3,Moowolf Finery,Cloak
12770,4,Moowolf Headgear,Helmet
12804,2,Baby Schnek,Pets
12816,3,Headfut,Helmet
12817,2,Twofut,Boots
12818,3,Waistfut,Belt
12819,2,Breastfut,Breastplate
12820,2,Bow Meow Ears,Helmet
12821,2,Bow Meow Tail ,Cloak
12822,2,Bow Meow Paws,Boots
12828,2,Zora's Helmet,Helmet
12829,2,Zora's Amulet,Amulet
12830,3,Zora's Boots,Boots
12831,2,Zora's Glove,Ring
12832,2,Zora's Tunic,Breastplate
12833,2,Zora's Cloak,Cloak
12836,2,Fuzzy Cards,Cards
12861,2,Dead Ringer,Ring
12862,3,Gravey Hammer,Hammer
12863,3,Tap Shoes,Boots
12865,2,Ragplate,Breastplate
12880,3,Heaterettes,Epaulettes
12887,3,Vampyric Epaulettes,Epaulettes
12888,4,Vampyric Breastplate,Breastplate
12890,3,Shadowed Amulet,Amulet
12891,3,Vampyric Bracelet,Ring
12893,3,Rock Bottoms,Boots
12896,3,Vampiric Wand,Wand
13058,3,Grave Shovel,Shovel
13138,3,Neckfut,Amulet
13256,2,Royal Tofu Amulet,Amulet
13446,2,Cassini Amulet,Amulet
13544,3,Vampyro's Cape,Cloak
13545,2,Vampyro's Boots,Boots
13546,3,Vampyro's Belt,Belt
13547,2,Shadofang Ring,Ring
13548,3,Vampyro's Headgear,Helmet
13574,3,Legano,Ring
13576,1,Magician's Hat,Helmet
13580,2,Old Belt,Belt
13581,2,Pappy Pal's Ring,Ring
13582,3,Dark Vlad's Wooden Sword,Sword
13637,2,Quaquack,Pets
13658,2,Bum Breastplate,Breastplate
13659,2,Bum Boots,Boots
13660,2,Bum Cloak,Cloak
13704,1,Yugonets,Boots
13798,3,The Grinder,Two-handed Sword
13806,3,Janairo Helmet,Helmet
13838,3,Peckish Helmet,Helmet
13946,1,Love Mask,Helmet
13948,3,Deuldeu Breastplate,Breastplate
13949,3,Deuldeu Boots,Boots
13950,3,Deuldeu Helmet,Helmet
13951,3,Deuldeu Cloak,Cloak
13970,0,Blazy Boots,Boots
14038,2,Citronana Cloak,Cloak
14039,2,Hot Staff,One-handed Staff
14040,2,O'Basan Spade,Shovel
14041,2,Staypul Ring,Ring
14042,2,Five Cawat Ring,Ring
14043,2,Cranny Faddocks,Boots
14044,2,Cankles,Boots
14045,2,Magic Roundabelt,Belt
14046,2,Crocobelt,Belt
14047,2,Krypto Cloak,Cloak
14048,2,Messy Cape,Cloak
14115,3,Gobbalrog Helmet,Helmet
14116,3,Gobbalrog Breastplate,Breastplate
14117,3,Gobbalrog Boots,Boots
14118,3,Gobbalrog Belt,Belt
14119,4,Rogmourne,Sword
14120,4,Gray Mage's Wand,Wand
14121,4,The Mogmatic,Shield
14122,3,Magmog Feet,Boots
14123,4,Magmog Clinkers,Epaulettes
14124,4,Magmog Cloak,Cloak
14125,4,Magmog Halo,Ring
14128,3,Excarnus Fleece,Breastplate
14129,4,Excarnus's Crystal,Amulet
14130,3,Excarnus Hooves,Boots
14131,3,Excarnus Veil,Cloak
14132,4,Tortured Soul,Ring
14134,3,Milkar Finery,Cloak
14135,3,Milkar Fangs,Amulet
14136,4,Milkar Fur,Breastplate
14137,3,Milkar Mitts,Boots
14138,4,The Bloodthirsty,Dagger
14140,3,White Crow Hackle,Epaulettes
14141,4,White Crow Amulet,Amulet
14142,4,White Crow Breastplate,Breastplate
14143,4,White Crow Belt,Belt
14144,3,White Crow Wings,Cloak
14147,2,Milimoowolf,Pets
14152,2,Arachnee,Pets
14157,2,Clawbot,Pets
14278,3,Ice Lance,Two-handed Staff
14279,3,Lightning,Cards
14281,3,Roseyposey,Wand
14282,3,Hobble Stick,One-handed Staff
14283,3,Raval Scepter,One-handed Staff
14284,4,Djaul Dagger,Dagger
14285,3,Solar Sword,Two-handed Sword
14286,3,Ten Ton Hammer,Hammer
14335,2,Water Krosmunster,Pets
14360,2,Whispered Lance,Two-handed Staff
14361,2,Whispered Hand,Hand
14362,2,Whispered Amulet,Amulet
14363,3,Whispered Ring,Ring
14364,3,Whispered Breastplate,Breastplate
14365,2,Whispered Helmet,Helmet
14366,2,Whispered Cloak,Cloak
14415,2,Whispered Belt,Belt
14422,4,Feroxxors Boowolf,Mounts
14426,2,Rocky Fist,Ring
14428,2,Bastile Helmet,Helmet
14429,2,Whispered Standard,One-handed Staff
14430,2,Rampart Boots,Boots
14431,3,Rampart Amulet,Amulet
14432,3,Rampart Epaulettes,Epaulettes
14433,2,Rampart Belt,Belt
14437,4,Hushed Scepter,One-handed Staff
14439,3,Hushed Epaulettes,Epaulettes
14440,3,Whispery Ring,Ring
14441,3,Hushed Boots,Boots
14444,2,Hushed Breastplate,Breastplate
14447,2,Hushed Crown,Helmet
14450,3,Hushed Cloak,Cloak
14454,3,Hushed Amulet,Amulet
14473,3,Hushed Belt,Belt
14480,3,Gravel Gavel,Hammer
14481,2,Crackwhip Bow,Bow
14482,2,Ringapult,Ring
14485,2,Whispery Hand,Hand
14486,3,Whispery Pristplate,Breastplate
14489,3,Whispering Clogs,Boots
14490,3,Whispery Standard Cloak,Cloak
14493,3,Murmurderer,Two-handed Sword
14499,2,Wizard Costume,Costumes
14501,2,Jacko Costume,Costumes
14503,2,Ghoul Costume,Costumes
14525,2,Earth Krosmunster,Pets
14526,2,Air Krosmunster,Pets
14527,2,Fire Krosmunster,Pets
14540,4,Aesof Mace,Hammer
14560,3,Imperial Gobball Helmet,Helmet
14561,3,Imperial Tofu Helmet,Helmet
14565,3,Alpha Predator Helmet,Helmet
14572,3,Imperial Gobball Cape,Cloak
14573,3,Imperial Tofu Cloak,Cloak
14575,3,Alpha Predator Cloak,Cloak
14583,3,Imperial Gobball Epaulettes,Epaulettes
14584,3,Imperial Tofu Epaulettes,Epaulettes
14585,3,Alpha Predator Epaulettes,Epaulettes
14590,3,Imperial Gobball Ring,Ring
14592,3,Alpha Predator Ring,Ring
14597,3,Imperial Tofu Amulet,Amulet
14599,3,Alpha Predator Amulet,Amulet
14606,3,Imperial Gobball Breastplate,Breastplate
14613,3,Imperial Tofu Belt,Belt
14614,3,Alpha Predator Belt,Belt
14620,3,Imperial Tofu Boots,Boots
14621,3,Imperial Gobball Boots,Boots
14629,4,Imperial Summoner Armor,Breastplate
14630,4,Imperial Healer Epaulettes ,Epaulettes
14631,4,Imperial Defender Shield ,Shield
14632,4,Imperial Magus Amulet,Amulet
14633,4,Imperial Merchant Ring,Ring
14634,4,Imperial Illuminator Boots,Boots
14635,4,Imperial Pyrotech Belt ,Belt
14636,4,Imperial Commander Helmet,Helmet
14637,4,Imperial Assassin Cape,Cloak
14642,3,Scarlet Hand,Hand
14644,4,Kam's Hand,Hand
14645,3,Lego Lars's Bow,Bow
14646,4,Freyrr's Bow,Bow
14647,3,Nausea Wand,Wand
14648,3,Bab Ydi Wand,Wand
14649,4,Tijeebon Mallet,Wand
14650,3,Rokau's Club,One-handed Staff
14651,4,Fryou's Little Staff,One-handed Staff
14652,2,Sangroku's Magic Club,Two-handed Staff
14653,3,Ogrest's Toothpick ,Two-handed Staff
14654,4,Kwoac's Leg,Two-handed Staff
14656,7,Ush's Cards,Cards
14660,3,Assassin #1337's Daggers ,Dagger
14661,4,Azael's First Twin Dagger,Sword
14662,3,Soul Eater,Sword
14663,4,Zeorus's Blade,Sword
14664,3,Ancient Guardian Mace,Hammer
14665,4,Eskarina's Hammer,Hammer
14666,2,Sharpened Claymore,Two-handed Sword
14667,3,Shushu Slicer,Two-handed Sword
14669,4,Tot's Great Big Sword ,Two-handed Sword
14671,3,Forward Slash,Axe
14672,4,Grou's Axe,Axe
14673,2,Cake Shovel ,Shovel
14675,4,Exi's Ancestral Shovel,Shovel
14707,3,Honna Ring,Ring
14708,3,Osamost Helmet,Helmet
14709,3,Dracneel's Slippers,Boots
14710,3,Kajeet Breastplate,Breastplate
14711,3,Amilorus,Amulet
14712,3,Beltedy,Belt
14713,3,Helvy's Epaulettes,Epaulettes
14714,3,Dauzd Cloak,Cloak
14716,3,Whybeard Hand,Hand
14732,3,Luccian's Cloak,Cloak
14733,3,Ashal Ring,Ring
14734,3,Sen Souali Belt,Belt
14735,3,Cassel Helmet,Helmet
14736,3,Khiel's Aegis,Shield
14812,4,Azael's Second Twin Dagger,Dagger
14821,2,Shin Larva Cloak,Cloak
14822,2,Shin Larva Hat,Helmet
14823,2,Shin Larvepaulettes,Epaulettes
14824,3,Shin Larva Breastplate,Breastplate
14825,2,Shin Larva Boots,Boots
14826,3,Shin Larva Amulet,Amulet
14829,2,The Arvashin,Sword
14831,2,Gooberbelt,Belt
14832,3,Viscous Epaulettes,Epaulettes
14842,3,Ancestral Treechnid Boots,Boots
14851,2,Ancestral Treechnid Shield,Shield
14859,2,Exotic Headgear,Helmet
14860,2,Exotic Epaulettes,Epaulettes
14861,2,Exotic Cloak,Cloak
14862,3,Exotic Loincloth,Belt
14872,2,Speckled Albatroplate,Breastplate
14873,2,Cwabettos,Boots
14874,2,Starlie,Ring
14875,2,Mussy Epollets,Epaulettes
14878,2,Deckhand Ring,Ring
14879,3,Tropikaxe,Axe
14880,2,Howstar Wand,Wand
14881,3,Algar Cards,Cards
14882,2,Deckhand Boots,Boots
14883,2,Deckhand Belt,Belt
14884,3,Deckhand Torso,Breastplate
14887,2,Macawker,Pets
14888,2,Pearlfriend,Ring
14889,2,Feathered Hand,Hand
14904,3,Imperial Shin Larva Amulet,Amulet
14905,3,Imperial Shin Larva Boots,Boots
14906,3,Imperial Shin Larva Cloak,Cloak
14907,3,Imperial Shin Larva Hat,Helmet
14908,3,Imperial Shin Larva Epaulettes,Epaulettes
14909,3,Imperial Shin Larva Breastplate,Breastplate
14968,2,Muddy Larval Boots,Boots
14976,2,Muddy Larval Belt,Belt
14980,2,Muddy Larvepaulettes,Epaulettes
14984,2,Muddy Larval Breastplate,Breastplate
15001,3,Viddhartas,Boots
15002,3,Dorky Boots,Boots
15003,3,Orky Boots,Boots
15004,3,Retreating Boots,Boots
15005,2,Ecnamask,Helmet
15006,2,Saternio Helmet,Helmet
15007,2,Xenispa's Visor,Helmet
15008,2,Lyght'os's Skull,Helmet
15009,2,Sam's Waws,Epaulettes
15010,2,Chestershire Epaulettes,Epaulettes
15011,2,Epaulinas,Epaulettes
15012,2,Epaularies,Epaulettes
15013,3,Kamamulet,Amulet
15015,2,Exotic Ring,Ring
15017,3,Hurlmet,Helmet
15019,3,Admiral Hurlmet,Helmet
15020,2,Hurlplate,Breastplate
15021,3,Admiral Hurlplate,Breastplate
15022,2,Hurling Cloak,Cloak
15023,3,Hurl Belt,Belt
15024,3,Admiral Hurl Belt,Belt
15025,2,Ephurlettes,Epaulettes
15026,3,Admiral Ephurlettes,Epaulettes
15027,3,Lone Eye,Amulet
15029,3,Sparo's Cloak,Cloak
15030,2,Privateer Belt,Belt
15031,2,Chaos Cards,Cards
15033,3,The Sharp Hurl,Sword
15034,4,Tauxik Hammer,Hammer
15035,2,Anteak Boots,Boots
15036,2,Haunted Ring,Ring
15037,2,Protecto Plasm,Shield
15038,2,Bully Nightcap,Helmet
15039,2,Backagens,Dagger
15040,2,Agis Shovel,Shovel
15098,2,Snoofle,Pets
15099,2,Wodent,Pets
15100,2,Moofly,Pets
15103,2,Chaos Cloak,Cloak
15104,2,Chaos Tricorn,Helmet
15146,2,Stone Cold Helmet,Helmet
15147,2,Stone Cold Cloak,Cloak
15148,2,Stone Cold Boots,Boots
15149,3,Stone Cold Breastplate,Breastplate
15150,3,Stone Cold Ring,Ring
15152,3,Magmacrak Cloak,Cloak
15153,3,Magmacrak Ring,Ring
15155,3,Magmacrak Breastplate,Breastplate
15156,3,Magmacrak Boots,Boots
15158,3,Petra-Pack,Shield
15159,2,Hellmut,Helmet
15160,3,Marboulder Belt,Belt
